carimbo,container,cpu_pct,mem_uso,mem_pct
16:22:07,prontudigital-backend,39.45%,541MiB / 1GiB,52.83%
16:22:07,prontudigital-db,40.48%,129.5MiB / 512MiB,25.30%
16:22:15,prontudigital-backend,48.97%,541MiB / 1GiB,52.83%
16:22:15,prontudigital-db,26.62%,130.3MiB / 512MiB,25.46%
16:22:23,prontudigital-backend,25.42%,541.3MiB / 1GiB,52.86%
16:22:23,prontudigital-db,46.60%,130MiB / 512MiB,25.39%
16:22:31,prontudigital-backend,56.12%,541MiB / 1GiB,52.83%
16:22:31,prontudigital-db,48.44%,130.6MiB / 512MiB,25.50%
16:22:39,prontudigital-backend,68.38%,541MiB / 1GiB,52.84%
16:22:39,prontudigital-db,48.83%,131MiB / 512MiB,25.58%
16:22:47,prontudigital-backend,10.34%,541.4MiB / 1GiB,52.87%
16:22:47,prontudigital-db,6.13%,131.5MiB / 512MiB,25.68%
16:22:55,prontudigital-backend,41.48%,541.3MiB / 1GiB,52.86%
16:22:55,prontudigital-db,32.13%,132.1MiB / 512MiB,25.81%
16:23:03,prontudigital-backend,66.85%,541.3MiB / 1GiB,52.86%
16:23:03,prontudigital-db,19.42%,132.2MiB / 512MiB,25.82%
16:23:11,prontudigital-backend,81.48%,541.6MiB / 1GiB,52.89%
16:23:11,prontudigital-db,58.94%,132.9MiB / 512MiB,25.96%
16:23:19,prontudigital-backend,45.25%,541.1MiB / 1GiB,52.84%
16:23:19,prontudigital-db,38.92%,132.9MiB / 512MiB,25.95%
16:23:27,prontudigital-backend,37.83%,541.3MiB / 1GiB,52.86%
16:23:27,prontudigital-db,25.83%,133MiB / 512MiB,25.97%
16:23:35,prontudigital-backend,40.80%,541.3MiB / 1GiB,52.86%
16:23:35,prontudigital-db,35.51%,133.1MiB / 512MiB,26.01%
16:23:43,prontudigital-backend,77.08%,541.1MiB / 1GiB,52.84%
16:23:43,prontudigital-db,61.41%,133.6MiB / 512MiB,26.10%
16:23:52,prontudigital-backend,32.05%,541.2MiB / 1GiB,52.85%
16:23:52,prontudigital-db,52.29%,133.1MiB / 512MiB,26.00%
16:23:59,prontudigital-backend,14.73%,541.4MiB / 1GiB,52.87%
16:23:59,prontudigital-db,10.64%,133.8MiB / 512MiB,26.14%
16:24:07,prontudigital-backend,51.23%,541.2MiB / 1GiB,52.85%
16:24:07,prontudigital-db,37.42%,134.2MiB / 512MiB,26.22%
16:24:15,prontudigital-backend,68.59%,541.2MiB / 1GiB,52.85%
16:24:15,prontudigital-db,58.60%,133.7MiB / 512MiB,26.12%
16:24:23,prontudigital-backend,67.97%,541.2MiB / 1GiB,52.85%
16:24:23,prontudigital-db,27.59%,133.7MiB / 512MiB,26.11%
16:24:31,prontudigital-backend,25.47%,541.4MiB / 1GiB,52.87%
