carimbo,container,cpu_pct,mem_uso,mem_pct
15:20:31,prontudigital-backend,119.65%,556.8MiB / 1GiB,54.38%
15:20:31,prontudigital-db,103.15%,129.5MiB / 512MiB,25.29%
15:20:39,prontudigital-backend,138.47%,557.7MiB / 1GiB,54.46%
15:20:39,prontudigital-db,101.74%,129.3MiB / 512MiB,25.25%
15:20:48,prontudigital-backend,138.97%,559MiB / 1GiB,54.59%
15:20:48,prontudigital-db,105.02%,129.8MiB / 512MiB,25.34%
15:20:57,prontudigital-backend,149.93%,559.2MiB / 1GiB,54.61%
15:20:57,prontudigital-db,106.11%,129.9MiB / 512MiB,25.38%
15:21:07,prontudigital-backend,96.01%,559.8MiB / 1GiB,54.66%
15:21:07,prontudigital-db,103.83%,129.8MiB / 512MiB,25.35%
15:21:16,prontudigital-backend,119.78%,559.1MiB / 1GiB,54.60%
15:21:16,prontudigital-db,104.03%,129.7MiB / 512MiB,25.34%
15:21:25,prontudigital-backend,133.35%,559.2MiB / 1GiB,54.61%
15:21:25,prontudigital-db,100.73%,129.8MiB / 512MiB,25.35%
15:21:34,prontudigital-backend,110.34%,559.3MiB / 1GiB,54.62%
15:21:34,prontudigital-db,99.71%,129.8MiB / 512MiB,25.36%
15:21:42,prontudigital-backend,119.78%,559.4MiB / 1GiB,54.62%
15:21:42,prontudigital-db,102.07%,131.4MiB / 512MiB,25.67%
15:21:50,prontudigital-backend,130.68%,559.8MiB / 1GiB,54.67%
15:21:50,prontudigital-db,103.96%,130.6MiB / 512MiB,25.52%
15:21:59,prontudigital-backend,139.72%,559.9MiB / 1GiB,54.68%
15:21:59,prontudigital-db,99.74%,131.1MiB / 512MiB,25.60%
15:22:07,prontudigital-backend,132.81%,560MiB / 1GiB,54.69%
15:22:07,prontudigital-db,99.34%,130.4MiB / 512MiB,25.47%
15:22:16,prontudigital-backend,112.16%,560.3MiB / 1GiB,54.72%
15:22:16,prontudigital-db,98.91%,130.4MiB / 512MiB,25.47%
15:22:24,prontudigital-backend,116.55%,560.6MiB / 1GiB,54.75%
15:22:24,prontudigital-db,109.37%,130.4MiB / 512MiB,25.48%
15:22:33,prontudigital-backend,118.30%,560.4MiB / 1GiB,54.73%
15:22:33,prontudigital-db,100.03%,130.6MiB / 512MiB,25.51%
15:22:41,prontudigital-backend,133.59%,560.3MiB / 1GiB,54.72%
15:22:41,prontudigital-db,101.76%,131.1MiB / 512MiB,25.60%
15:22:50,prontudigital-backend,162.64%,560.3MiB / 1GiB,54.72%
15:22:50,prontudigital-db,102.19%,130.7MiB / 512MiB,25.52%
15:22:58,prontudigital-backend,110.71%,561.1MiB / 1GiB,54.79%
15:22:58,prontudigital-db,102.73%,131.3MiB / 512MiB,25.65%
15:23:07,prontudigital-backend,123.81%,560.7MiB / 1GiB,54.75%
15:23:07,prontudigital-db,72.01%,131.8MiB / 512MiB,25.74%
15:23:15,prontudigital-backend,150.62%,561.1MiB / 1GiB,54.79%
15:23:15,prontudigital-db,103.89%,130.9MiB / 512MiB,25.57%
15:23:24,prontudigital-backend,125.10%,560.9MiB / 1GiB,54.77%
15:23:24,prontudigital-db,98.19%,130.9MiB / 512MiB,25.56%
15:23:32,prontudigital-backend,127.58%,560.9MiB / 1GiB,54.77%
15:23:32,prontudigital-db,100.64%,130.9MiB / 512MiB,25.57%
15:23:40,prontudigital-backend,198.71%,560.9MiB / 1GiB,54.77%
15:23:40,prontudigital-db,101.40%,131MiB / 512MiB,25.59%
15:23:49,prontudigital-backend,119.09%,561MiB / 1GiB,54.79%
15:23:49,prontudigital-db,101.94%,131MiB / 512MiB,25.58%
15:23:57,prontudigital-backend,115.49%,561MiB / 1GiB,54.78%
15:23:57,prontudigital-db,98.95%,131.1MiB / 512MiB,25.60%
15:24:06,prontudigital-backend,117.14%,561MiB / 1GiB,54.79%
15:24:06,prontudigital-db,102.41%,131.2MiB / 512MiB,25.63%
15:24:15,prontudigital-backend,129.25%,561.4MiB / 1GiB,54.82%
15:24:15,prontudigital-db,102.27%,131.1MiB / 512MiB,25.60%
15:24:24,prontudigital-backend,126.66%,561.1MiB / 1GiB,54.80%
15:24:24,prontudigital-db,101.69%,131.6MiB / 512MiB,25.71%
15:24:32,prontudigital-backend,122.57%,561.2MiB / 1GiB,54.80%
15:24:32,prontudigital-db,96.65%,131.2MiB / 512MiB,25.62%
15:24:41,prontudigital-backend,104.16%,561.4MiB / 1GiB,54.82%
15:24:41,prontudigital-db,101.02%,131.8MiB / 512MiB,25.74%
15:24:50,prontudigital-backend,111.28%,561.4MiB / 1GiB,54.82%
15:24:50,prontudigital-db,104.03%,131.5MiB / 512MiB,25.69%
15:24:59,prontudigital-backend,131.80%,561.4MiB / 1GiB,54.82%
15:24:59,prontudigital-db,106.04%,131.5MiB / 512MiB,25.69%
15:25:07,prontudigital-backend,153.53%,561.5MiB / 1GiB,54.83%
15:25:07,prontudigital-db,100.69%,131.3MiB / 512MiB,25.64%
15:25:16,prontudigital-backend,103.94%,561.5MiB / 1GiB,54.83%
15:25:16,prontudigital-db,95.61%,131.6MiB / 512MiB,25.70%
15:25:24,prontudigital-backend,124.76%,561.6MiB / 1GiB,54.84%
15:25:24,prontudigital-db,101.85%,131.5MiB / 512MiB,25.68%
15:25:32,prontudigital-backend,118.07%,561.6MiB / 1GiB,54.84%
15:25:32,prontudigital-db,101.12%,131.8MiB / 512MiB,25.74%
15:25:41,prontudigital-backend,125.09%,561.6MiB / 1GiB,54.84%
15:25:41,prontudigital-db,100.16%,132.2MiB / 512MiB,25.82%
15:25:50,prontudigital-backend,122.32%,562.8MiB / 1GiB,54.96%
15:25:50,prontudigital-db,99.56%,131.6MiB / 512MiB,25.71%
15:25:58,prontudigital-backend,117.52%,562.5MiB / 1GiB,54.94%
15:25:58,prontudigital-db,98.23%,131.6MiB / 512MiB,25.69%
15:26:07,prontudigital-backend,105.50%,561.7MiB / 1GiB,54.85%
15:26:07,prontudigital-db,100.53%,131.6MiB / 512MiB,25.71%
15:26:15,prontudigital-backend,128.27%,561.9MiB / 1GiB,54.88%
15:26:15,prontudigital-db,100.80%,131.9MiB / 512MiB,25.76%
15:26:23,prontudigital-backend,133.81%,562.3MiB / 1GiB,54.91%
15:26:23,prontudigital-db,103.50%,132.2MiB / 512MiB,25.83%
15:26:32,prontudigital-backend,117.62%,561.8MiB / 1GiB,54.86%
15:26:32,prontudigital-db,100.92%,132.1MiB / 512MiB,25.80%
15:26:40,prontudigital-backend,110.63%,561.8MiB / 1GiB,54.86%
15:26:40,prontudigital-db,102.58%,131.9MiB / 512MiB,25.76%
15:26:48,prontudigital-backend,185.98%,562.2MiB / 1GiB,54.91%
15:26:48,prontudigital-db,100.58%,131.9MiB / 512MiB,25.77%
15:26:57,prontudigital-backend,125.41%,562.6MiB / 1GiB,54.94%
15:26:57,prontudigital-db,100.60%,131.7MiB / 512MiB,25.73%
15:27:05,prontudigital-backend,105.09%,562.1MiB / 1GiB,54.89%
15:27:05,prontudigital-db,108.77%,132.8MiB / 512MiB,25.93%
15:27:14,prontudigital-backend,115.76%,562.1MiB / 1GiB,54.89%
15:27:14,prontudigital-db,70.60%,131.8MiB / 512MiB,25.75%
15:27:22,prontudigital-backend,102.66%,562.1MiB / 1GiB,54.89%
15:27:22,prontudigital-db,99.53%,131.9MiB / 512MiB,25.75%
15:27:31,prontudigital-backend,108.83%,562.8MiB / 1GiB,54.96%
15:27:31,prontudigital-db,100.95%,131.9MiB / 512MiB,25.76%
15:27:39,prontudigital-backend,116.59%,562.2MiB / 1GiB,54.90%
15:27:39,prontudigital-db,105.57%,133.8MiB / 512MiB,26.13%
15:27:47,prontudigital-backend,114.83%,562.2MiB / 1GiB,54.90%
15:27:47,prontudigital-db,98.96%,132.2MiB / 512MiB,25.81%
15:27:56,prontudigital-backend,95.09%,562.2MiB / 1GiB,54.90%
15:27:56,prontudigital-db,100.33%,131.8MiB / 512MiB,25.75%
15:28:04,prontudigital-backend,145.81%,562.3MiB / 1GiB,54.91%
15:28:04,prontudigital-db,109.06%,132.1MiB / 512MiB,25.80%
15:28:13,prontudigital-backend,0.23%,562.2MiB / 1GiB,54.90%
15:28:13,prontudigital-db,0.07%,132.1MiB / 512MiB,25.80%
15:28:21,prontudigital-backend,36.98%,562.2MiB / 1GiB,54.90%
15:28:21,prontudigital-db,16.91%,132.1MiB / 512MiB,25.80%
15:28:30,prontudigital-backend,0.24%,562.2MiB / 1GiB,54.90%
15:28:30,prontudigital-db,2.39%,131.8MiB / 512MiB,25.75%
15:28:38,prontudigital-backend,0.28%,562.2MiB / 1GiB,54.90%
15:28:38,prontudigital-db,0.04%,131.8MiB / 512MiB,25.74%
15:28:46,prontudigital-backend,0.22%,562MiB / 1GiB,54.88%
15:28:46,prontudigital-db,0.03%,131.8MiB / 512MiB,25.75%
15:28:53,prontudigital-backend,0.17%,562MiB / 1GiB,54.88%
15:28:53,prontudigital-db,0.00%,131.8MiB / 512MiB,25.75%
15:29:01,prontudigital-backend,0.21%,562.1MiB / 1GiB,54.89%
15:29:01,prontudigital-db,0.03%,131.9MiB / 512MiB,25.75%
15:29:08,prontudigital-backend,0.24%,562.1MiB / 1GiB,54.89%
15:29:08,prontudigital-db,0.05%,131.9MiB / 512MiB,25.75%
15:29:17,prontudigital-backend,0.78%,559.1MiB / 1GiB,54.60%
15:29:17,prontudigital-db,0.00%,131.9MiB / 512MiB,25.75%
15:29:24,prontudigital-backend,0.36%,555.4MiB / 1GiB,54.24%
15:29:24,prontudigital-db,0.03%,131.9MiB / 512MiB,25.75%
15:29:32,prontudigital-backend,0.20%,554.1MiB / 1GiB,54.12%
15:29:32,prontudigital-db,0.00%,131.9MiB / 512MiB,25.76%
15:29:40,prontudigital-backend,0.51%,552MiB / 1GiB,53.91%
15:29:40,prontudigital-db,0.00%,131.9MiB / 512MiB,25.75%
15:29:48,prontudigital-backend,0.21%,552MiB / 1GiB,53.91%
15:29:48,prontudigital-db,0.00%,131.9MiB / 512MiB,25.76%
15:29:56,prontudigital-backend,0.19%,552MiB / 1GiB,53.91%
15:29:56,prontudigital-db,0.00%,131.9MiB / 512MiB,25.76%
