carimbo,container,cpu_pct,mem_uso,mem_pct
15:52:22,prontudigital-db,102.34%,136.3MiB / 512MiB,26.62%
15:52:31,prontudigital-backend,152.56%,526.4MiB / 1GiB,51.41%
15:52:31,prontudigital-db,101.16%,136.1MiB / 512MiB,26.59%
15:52:40,prontudigital-backend,94.93%,527.4MiB / 1GiB,51.50%
15:52:40,prontudigital-db,101.30%,136.8MiB / 512MiB,26.72%
15:52:48,prontudigital-backend,34.02%,527.5MiB / 1GiB,51.51%
15:52:48,prontudigital-db,21.61%,137MiB / 512MiB,26.76%
15:52:56,prontudigital-backend,36.58%,527.4MiB / 1GiB,51.51%
15:52:56,prontudigital-db,16.45%,136.3MiB / 512MiB,26.63%
15:53:04,prontudigital-backend,112.34%,527.6MiB / 1GiB,51.53%
15:53:04,prontudigital-db,99.74%,136.4MiB / 512MiB,26.64%
15:53:12,prontudigital-backend,101.99%,527.8MiB / 1GiB,51.54%
15:53:12,prontudigital-db,101.86%,137.1MiB / 512MiB,26.77%
15:53:21,prontudigital-backend,97.07%,527.9MiB / 1GiB,51.55%
15:53:21,prontudigital-db,100.38%,136.4MiB / 512MiB,26.63%
15:53:29,prontudigital-backend,137.28%,528.2MiB / 1GiB,51.58%
15:53:29,prontudigital-db,107.59%,136.6MiB / 512MiB,26.68%
15:53:38,prontudigital-backend,148.61%,528.5MiB / 1GiB,51.62%
15:53:38,prontudigital-db,99.76%,136.6MiB / 512MiB,26.68%
15:53:48,prontudigital-backend,225.18%,529.7MiB / 1GiB,51.73%
15:53:48,prontudigital-db,118.19%,137MiB / 512MiB,26.76%
15:53:57,prontudigital-backend,103.98%,532.6MiB / 1GiB,52.01%
15:53:57,prontudigital-db,98.88%,136.7MiB / 512MiB,26.71%
15:54:05,prontudigital-backend,100.05%,534.4MiB / 1GiB,52.18%
15:54:05,prontudigital-db,117.07%,137.5MiB / 512MiB,26.85%
15:54:16,prontudigital-backend,111.00%,534.6MiB / 1GiB,52.21%
15:54:16,prontudigital-db,98.61%,137.9MiB / 512MiB,26.93%
15:54:25,prontudigital-backend,153.31%,534.8MiB / 1GiB,52.22%
15:54:25,prontudigital-db,99.26%,137.4MiB / 512MiB,26.84%
15:54:33,prontudigital-backend,138.71%,534.9MiB / 1GiB,52.24%
15:54:33,prontudigital-db,101.16%,137.2MiB / 512MiB,26.79%
15:54:42,prontudigital-backend,120.10%,534.9MiB / 1GiB,52.24%
15:54:42,prontudigital-db,103.30%,137.4MiB / 512MiB,26.84%
15:54:51,prontudigital-backend,117.97%,535.3MiB / 1GiB,52.28%
15:54:51,prontudigital-db,99.52%,137.6MiB / 512MiB,26.88%
15:54:59,prontudigital-backend,116.08%,535.7MiB / 1GiB,52.31%
15:54:59,prontudigital-db,102.30%,137.4MiB / 512MiB,26.83%
15:55:08,prontudigital-backend,108.32%,535.7MiB / 1GiB,52.32%
15:55:08,prontudigital-db,106.78%,137.8MiB / 512MiB,26.92%
15:55:16,prontudigital-backend,80.23%,536MiB / 1GiB,52.34%
15:55:16,prontudigital-db,56.31%,137.6MiB / 512MiB,26.87%
15:55:24,prontudigital-backend,116.41%,536.9MiB / 1GiB,52.43%
15:55:24,prontudigital-db,104.34%,137.7MiB / 512MiB,26.90%
15:55:33,prontudigital-backend,91.82%,535.9MiB / 1GiB,52.34%
15:55:33,prontudigital-db,88.97%,137.9MiB / 512MiB,26.93%
15:55:41,prontudigital-backend,81.96%,536MiB / 1GiB,52.34%
15:55:41,prontudigital-db,67.61%,137.4MiB / 512MiB,26.84%
15:55:49,prontudigital-backend,106.70%,536MiB / 1GiB,52.34%
15:55:49,prontudigital-db,109.53%,137.6MiB / 512MiB,26.88%
15:55:58,prontudigital-backend,106.68%,536.3MiB / 1GiB,52.37%
15:55:58,prontudigital-db,101.64%,137.9MiB / 512MiB,26.93%
15:56:06,prontudigital-backend,67.53%,536MiB / 1GiB,52.35%
15:56:06,prontudigital-db,41.39%,137.9MiB / 512MiB,26.94%
15:56:14,prontudigital-backend,97.69%,536.2MiB / 1GiB,52.36%
15:56:14,prontudigital-db,115.81%,139.2MiB / 512MiB,27.19%
15:56:23,prontudigital-backend,181.46%,536.2MiB / 1GiB,52.36%
15:56:23,prontudigital-db,100.16%,138.1MiB / 512MiB,26.98%
15:56:32,prontudigital-backend,50.19%,536.1MiB / 1GiB,52.35%
15:56:32,prontudigital-db,73.74%,137.6MiB / 512MiB,26.87%
15:56:40,prontudigital-backend,64.67%,536.2MiB / 1GiB,52.36%
15:56:40,prontudigital-db,97.89%,137.9MiB / 512MiB,26.93%
15:56:48,prontudigital-backend,82.69%,536.2MiB / 1GiB,52.36%
15:56:48,prontudigital-db,50.23%,137.5MiB / 512MiB,26.85%
15:56:56,prontudigital-backend,168.90%,536.6MiB / 1GiB,52.40%
15:56:56,prontudigital-db,101.85%,138.4MiB / 512MiB,27.02%
15:57:04,prontudigital-backend,132.51%,538.1MiB / 1GiB,52.55%
15:57:04,prontudigital-db,101.07%,138.3MiB / 512MiB,27.01%
15:57:13,prontudigital-backend,164.16%,536.6MiB / 1GiB,52.40%
15:57:13,prontudigital-db,57.12%,137.7MiB / 512MiB,26.89%
15:57:21,prontudigital-backend,94.55%,536.6MiB / 1GiB,52.40%
15:57:21,prontudigital-db,89.23%,138.3MiB / 512MiB,27.02%
15:57:29,prontudigital-backend,127.15%,536.9MiB / 1GiB,52.43%
15:57:29,prontudigital-db,100.22%,137.9MiB / 512MiB,26.94%
15:57:37,prontudigital-backend,65.04%,536.7MiB / 1GiB,52.41%
15:57:37,prontudigital-db,94.04%,138.1MiB / 512MiB,26.98%
15:57:45,prontudigital-backend,120.42%,536.8MiB / 1GiB,52.42%
15:57:45,prontudigital-db,100.92%,138.6MiB / 512MiB,27.06%
15:57:53,prontudigital-backend,62.78%,536.8MiB / 1GiB,52.42%
15:57:53,prontudigital-db,67.08%,138MiB / 512MiB,26.94%
15:58:01,prontudigital-backend,62.86%,536.8MiB / 1GiB,52.42%
15:58:01,prontudigital-db,47.17%,138MiB / 512MiB,26.95%
15:58:09,prontudigital-backend,121.13%,536.8MiB / 1GiB,52.42%
15:58:09,prontudigital-db,84.43%,138.3MiB / 512MiB,27.00%
15:58:17,prontudigital-backend,131.59%,536.9MiB / 1GiB,52.43%
15:58:17,prontudigital-db,113.68%,138.5MiB / 512MiB,27.05%
15:58:26,prontudigital-backend,106.89%,537MiB / 1GiB,52.45%
15:58:26,prontudigital-db,100.97%,138.8MiB / 512MiB,27.12%
15:58:35,prontudigital-backend,108.17%,537.4MiB / 1GiB,52.49%
15:58:35,prontudigital-db,99.67%,138.8MiB / 512MiB,27.10%
